model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,pickle_file
de,scaled_branin,ei,20,500,8,-1.047393,-1.047203066,91,134.904,446.101,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed8.pkl
de,scaled_branin,ei,20,500,14,-1.047393,-1.046507469,35,53.966,94.822,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed14.pkl
de,scaled_branin,ei,20,500,9,-1.047393,-1.047212388,101,169.709,465.224,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed9.pkl
de,scaled_branin,ei,20,500,13,-1.047393,-1.047264472,65,106.118,218.617,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed13.pkl
de,scaled_branin,ts,20,500,0,-1.047393,-1.047393197,15,4.914,71.572,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed0.pkl
de,scaled_branin,ts,20,500,1,-1.047393,-1.046839106,2,0.994,23.341,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed1.pkl
de,scaled_branin,ts,20,500,2,-1.047393,-1.04686862,10,3.133,52.676,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed2.pkl
de,scaled_branin,ts,20,500,3,-1.047393,-1.047220651,2,0.863,22.448,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed3.pkl
de,scaled_branin,ei,20,500,18,-1.047393,-1.046963547,74,116.469,272.223,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed18.pkl
de,scaled_branin,ei,20,500,15,-1.047393,-1.046874704,103,169.486,447.714,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed15.pkl
de,scaled_branin,ei,20,500,19,-1.047393,-1.04644709,64,107.547,238.503,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed19.pkl
de,scaled_branin,ts,20,500,4,-1.047393,-1.047294509,13,4.118,60.112,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed4.pkl
de,scaled_branin,ts,20,500,5,-1.047393,-1.046930218,8,2.356,29.597,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed5.pkl
de,scaled_branin,ts,20,500,8,-1.047393,-1.046647585,5,1.777,37.225,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed8.pkl
de,scaled_branin,ts,20,500,7,-1.047393,-1.04729451,13,3.927,59.23,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed7.pkl
de,scaled_branin,ts,20,500,6,-1.047393,-1.047239595,17,4.984,68.348,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed6.pkl
de,scaled_branin,ts,20,500,11,-1.047393,-1.047068735,2,0.827,16.944,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed11.pkl
de,scaled_branin,ts,20,500,12,-1.047393,-1.047355671,19,5.716,87.011,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed12.pkl
de,scaled_branin,ts,20,500,10,-1.047393,-1.047080909,22,7.127,112.745,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed10.pkl
de,scaled_branin,ts,20,500,15,-1.047393,-1.047320472,5,1.47,22.824,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed15.pkl
de,scaled_branin,ts,20,500,17,-1.047393,-1.047388416,8,2.58,40.411,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed17.pkl
de,scaled_branin,ts,20,500,18,-1.047393,-1.047220187,16,5.176,72.743,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed18.pkl
de,scaled_branin,ei,20,500,7,-1.047393,-1.046374414,15,38.278,56.736,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed7.pkl
de,scaled_branin,ei,20,500,3,-1.047393,-1.046628984,22,49.718,72.759,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed3.pkl
de,scaled_branin,ts,20,500,9,-1.047393,-1.047145858,23,7.829,124.588,7,5,50,de_ts_scaled_branin_L5_n50_es7_seed9.pkl
