model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,e_num_hidden_layers,e_units,init_buffer_iters,lr,pickle_file
deup,hartmann3,ts,30,500,6,-3.86278,-3.862314054,51,132.302,1271.687,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed6.pkl
deup,scaled_branin,ei,20,500,14,-1.047393,-1.046576388,3,29.258,26.722,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed14.pkl
deup,hartmann3,ts,30,500,9,-3.86278,-3.862361279,171,1088.062,9697.148,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed9.pkl
deup,scaled_branin,ei,20,500,18,-1.047393,-1.047088561,19,74.606,183.087,7,5,50,5,128,2,0.001,deup_ei_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed18.pkl
deup,hartmann3,ts,30,500,8,-3.86278,-3.861357693,80,261.9,2409.929,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed8.pkl
deup,hartmann3,ts,30,500,0,-3.86278,-3.860981898,181,1130.102,10174.816,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed0.pkl
deup,hartmann3,ts,30,500,4,-3.86278,-3.861546303,374,4498.344,42627.432,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed4.pkl
deup,hartmann3,ts,30,500,2,-3.86278,-3.861997765,500,7641.814,76330.495,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed2.pkl
deup,scaled_branin,ts,20,500,11,-1.047393,-1.046431099,14,18.031,208.318,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed11.pkl
deup,hartmann3,ts,30,500,1,-3.86278,-3.862034994,500,7767.923,77088.207,7,5,50,5,128,2,0.001,deup_ts_hartmann3_L5_n50_eL5_en128_lr1e3_es7_seed1.pkl
deup,scaled_branin,ts,20,500,15,-1.047393,-1.047260133,9,11.769,146.607,7,5,50,5,128,2,0.001,deup_ts_scaled_branin_L5_n50_eL5_en128_lr1e3_es7_seed15.pkl
